Co Code,County,Dist Code,District,Position,White,%White,Black,%Black,Hispanic,%Hispanic,Asian,%Asian,American Indian,%American Indian,Hawaiian Native,%Hawaiian Native,Two or More Races,%Two or More Races,Total,Male,%Male,Female,%Female,%Non Binary
03,Bergen,1230,East Rutherford School District,Teacher,69.0,88.5,2.0,2.6,5.0,6.4,2.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,78.0,9.0,11.5,69.0,88.5,<.1
03,Bergen,1230,East Rutherford School District,Supervisors/Coordinators,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,<.1
03,Bergen,1270,Edgewater School District,Administrators,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,1.0,33.3,<.1
03,Bergen,1270,Edgewater School District,Special Service,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,100.0,<.1
03,Bergen,1270,Edgewater School District,Teacher,38.0,79.2,0.0,0.0,5.0,10.4,4.0,8.3,0.0,0.0,0.0,0.0,1.0,2.1,48.0,4.0,8.3,44.0,91.7,<.1
03,Bergen,1270,Edgewater School District,Supervisors/Coordinators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<.1
03,Bergen,1345,Elmwood Park School District,Administrators,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,50.0,6.0,50.0,<.1
03,Bergen,1345,Elmwood Park School District,Special Service,28.5,87.7,2.0,6.2,2.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,1.0,3.1,31.5,96.9,<.1
03,Bergen,1345,Elmwood Park School District,Teacher,177.4,90.8,0.0,0.0,14.0,7.2,3.0,1.5,0.0,0.0,0.0,0.0,1.0,0.5,195.4,41.0,21.0,154.4,79.0,<.1
03,Bergen,1345,Elmwood Park School District,Supervisors/Coordinators,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,<.1
03,Bergen,1360,Emerson Public School District,Administrators,6.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,3.5,53.8,3.0,46.2,<.1
03,Bergen,1360,Emerson Public School District,Special Service,14.3,93.5,0.0,0.0,0.0,0.0,1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.5,3.3,14.8,96.7,<.1
03,Bergen,1360,Emerson Public School District,Teacher,85.3,91.4,0.0,0.0,3.0,3.2,5.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,93.3,17.0,18.2,76.3,81.8,<.1
03,Bergen,1360,Emerson Public School District,Supervisors/Coordinators,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,50.0,<.1
03,Bergen,1370,Englewood Public School District,Administrators,4.0,36.4,4.0,36.4,3.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,54.5,5.0,45.5,<.1
03,Bergen,1370,Englewood Public School District,Special Service,23.6,52.9,12.0,26.9,8.0,17.9,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,44.6,5.0,11.2,39.6,88.8,<.1
03,Bergen,1370,Englewood Public School District,Teacher,144.0,55.0,39.0,14.9,58.8,22.5,12.0,4.6,8.0,3.1,0.0,0.0,0.0,0.0,261.8,60.8,23.2,201.0,76.8,<.1
03,Bergen,1370,Englewood Public School District,Supervisors/Coordinators,3.0,33.3,1.0,11.1,5.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,22.2,7.0,77.8,<.1
03,Bergen,1380,Englewood Cliffs School District,Administrators,2.0,66.7,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,100.0,<.1
03,Bergen,1380,Englewood Cliffs School District,Special Service,8.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,8.4,100.0,<.1
03,Bergen,1380,Englewood Cliffs School District,Teacher,43.3,89.6,0.0,0.0,2.0,4.1,3.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,48.3,8.0,16.6,40.3,83.4,<.1
03,Bergen,1380,Englewood Cliffs School District,Supervisors/Coordinators,2.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,43.5,1.3,56.5,<.1
03,Bergen,1450,Fair Lawn Public School District,Administrators,18.8,94.9,1.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,8.0,40.4,11.8,59.6,<.1
03,Bergen,1450,Fair Lawn Public School District,Special Service,69.6,92.1,4.0,5.3,2.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6,10.0,13.2,65.6,86.8,<.1
03,Bergen,1450,Fair Lawn Public School District,Teacher,391.9,91.1,4.0,0.9,20.6,4.8,13.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,430.1,85.6,19.9,344.5,80.1,<.1
03,Bergen,1450,Fair Lawn Public School District,Supervisors/Coordinators,6.2,86.1,0.0,0.0,1.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,5.0,69.4,2.2,30.6,<.1
03,Bergen,1470,Fairview Public School District,Administrators,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,28.6,5.0,71.4,<.1
03,Bergen,1470,Fairview Public School District,Special Service,9.5,70.4,0.0,0.0,3.0,22.2,1.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,13.5,100.0,<.1
03,Bergen,1470,Fairview Public School District,Teacher,78.0,79.6,0.0,0.0,17.0,17.3,3.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,98.0,13.0,13.3,85.0,86.7,<.1
03,Bergen,1470,Fairview Public School District,Supervisors/Coordinators,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,50.0,<.1
03,Bergen,1550,Fort Lee School District,Administrators,12.0,66.7,1.0,5.6,5.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,50.0,9.0,50.0,<.1
03,Bergen,1550,Fort Lee School District,Special Service,47.3,82.5,1.0,1.7,7.0,12.2,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,57.3,9.0,15.7,48.3,84.3,<.1
03,Bergen,1550,Fort Lee School District,Teacher,257.6,80.3,0.0,0.0,27.0,8.4,36.1,11.3,0.0,0.0,0.0,0.0,0.0,0.0,320.7,65.0,20.3,255.7,79.7,<.1
03,Bergen,1550,Fort Lee School District,Supervisors/Coordinators,2.0,66.7,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,2.0,66.7,<.1
03,Bergen,1580,Franklin Lakes School District,Administrators,9.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,33.3,6.0,66.7,<.1
03,Bergen,1580,Franklin Lakes School District,Special Service,30.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,1.0,3.3,29.3,96.7,<.1
03,Bergen,1580,Franklin Lakes School District,Teacher,134.6,96.4,0.0,0.0,4.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,139.6,11.0,7.9,128.6,92.1,<.1
03,Bergen,1580,Franklin Lakes School District,Supervisors/Coordinators,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,100.0,<.1
03,Bergen,1700,Garfield Public School District,Administrators,17.0,89.5,1.0,5.3,1.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,36.8,12.0,63.2,<.1
03,Bergen,1700,Garfield Public School District,Special Service,65.7,90.4,2.0,2.8,5.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7,9.0,12.4,63.7,87.6,<.1
03,Bergen,1700,Garfield Public School District,Teacher,405.6,92.4,4.0,0.9,19.5,4.4,10.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,439.1,97.9,22.3,341.2,77.7,<.1
03,Bergen,1700,Garfield Public School District,Supervisors/Coordinators,15.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,26.7,11.0,73.3,<.1
03,Bergen,1760,Glen Rock Public School District,Administrators,13.0,92.9,0.0,0.0,1.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,42.9,8.0,57.1,<.1
03,Bergen,1760,Glen Rock Public School District,Special Service,42.6,97.7,0.0,0.0,0.0,0.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,43.6,2.0,4.6,41.6,95.4,<.1
